whiskyID,rev_ID,date,rating,text
6,6-1,18.08.2015,,"Aroma: Intensiver Torfrauch mit Noten von Jod und Seetang und reicher tiefer Süße.  Geschmack: Trockener Torfrauch füllt den Gaumen mit einer sanften und dennoch kraftvollen Süße, um dann Noten von Meer und Salz mit Anflügen von Holz zu weichen.  Abgang: Ein langes elegantes, von Rauchigkeit erfülltes Finish viel Salz und Meeresalgen."
6,6-2,18.08.2015,,"Aroma: Intensiver Torfrauch mit Noten von Jod und Seetang und reicher tiefer Süße.  Geschmack: Trockener Torfrauch füllt den Gaumen mit einer sanften und dennoch kraftvollen Süße, um dann Noten von Meer und Salz mit Anflügen von Holz zu weichen.  Abgang: Ein langes elegantes, von Rauchigkeit erfülltes Finish viel Salz und Meeresalgen."
6,6-3,02.06.2021,,"Aroma: Intensiver Torfrauch mit Noten von Jod und Seetang und reicher tiefer Süße.  Geschmack: Trockener Torfrauch füllt den Gaumen mit einer sanften und kraftvollen Süße, um dann Noten von Meer und Salz mit Anflügen von Holz zu weichen.  Abgang: Langes, elegantes, von Rauchigkeit erfülltes Finish mit viel Salz und Meeresalgen."
6,6-4,11.06.2010,5.0,"Aroma: Intensiver Torf und Vanille. Eine Rosinensüße hält den Rauch in Schach. Jodhaltiger Torf und knusprig geröstetes Malz. Beglückend und verlockend.  Geschmack: Süß und köstlich; ein klarer, grasiger Malzton, dann Torf-Attacken, Rauch füllt den Mund. Punktuell sehr salziger Tang; in der Mitte Kaffee und Vanille mit einem Schimmer von Frucht. Abgang: Unglaublich lang, selbst für einen Islay. Frucht, Torf und lang anhaltende Eiche."
6,6-5,11.06.2010,5.0,"Aroma: Intensiver Torfrauch mit Noten von Jod und Seetang und reicher tiefer Süße. Geschmack: Trockener Torfrauch füllt den Gaumen mit einer sanften und dennoch kraftvollen Süße, um dann Noten von Meer und Salz mit Anflügen von Holz zu weichen. Abgang: Ein langes elegantes, von Torfigkeit erfülltes Finish viel Salz und Meeresalgen."
6,6-6,13.02.2011,4.0,"Rauch, Schinken, kräftig-würzig, langer Abgang"
6,6-7,17.05.2017,4.0,"Aroma: intensiv - salzig, Seeluft, Salmiaklakritz, rauchige Rosinen, Holz, ein Hauch Tabak  Geschmack: auch der Geschmack erinnert etwas an Salzlakritz, dazu schwarzer Pfeffer, Schokolebkuchen, Spekulatius und trockener, aschiger Rauch... vollmundig, fett und ölig  Abgang: lang und trocken, Pfeffer, Salz, Asche, Holz, ein Rest Lakritz  Kommentar: Unentbehrlicher, leckerer Standard in seit Ewigkeiten konstanter Top-Qualität zu fairem Preis (aktuell ~50€)  - man kann nur hoffen, dass das so bleibt."
6,6-8,14.06.2019,5.0,Aroma: <Rauch> Frische <Maritime Noten> feuchtes Holz <Salz> <Medizinischer Rauch> <Eiche> <Süße> <Dunkle Schokolade>   Geschmack: <Rauch> <Medizinischer Rauch> <Seetang> <Gewürze> Meer <Salz>   Abgang: <Rauch> <Gewürze> <Pfeffer> <Eiche>   Kommentar: 5 mit Sternchen; einer meiner Lieblingswhiskys
6,6-9,24.04.2020,5.0,Aroma: <Rauch> <Maritime Noten> <Süße> leichte Röstaromen <Sherry> <Jod>   Geschmack: <Rauch> <Maritime Noten> <Salz> <Gewürze> <Süße> <Eiche>   Abgang: <Rauch> <Süße> <Gewürze> <Salz> <Eiche>   Kommentar: herrlich...
6,6-10,13.07.2015,4.0,"Aroma: Kraftvoll Phenolrauch, Jod, süße Sherryaromen und zitrusfruchtig Geschmack: Zunächst malzig, dann stark zitrusfruchtig trocken Abgang: lang anhaltende Rauchigkeit, Eiche und etwas dunkle Schokolade ... Kommentar:  Sehr kraftvoll und vielschichtig, aber eben nur etwas für Phenolliebhaber ..."
